"filename", "language", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\controllers\etaData.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\controllers\nearbyStops.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\db.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\package-lock.json", "JSON", 0, 1329, 0, 0, 0, 0, 0, 0, 1, 1330
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\package.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\routes\etaData.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\krish\OneDrive\Desktop\ttcMaps\backend\routes\nearbyStops.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\README.md", "Markdown", 0, 0, 0, 0, -7, 0, 0, 0, -6, -13
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\eslint.config.js", "JavaScript", -28, 0, 0, 0, 0, 0, 0, 0, -2, -30
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\index.html", "HTML", 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\package-lock.json", "JSON", 0, -4227, 0, 0, 0, 0, 0, 0, -1, -4228
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\package.json", "JSON", 0, -34, 0, 0, 0, 0, 0, 0, -1, -35
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\postcss.config.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\App.css", "PostCSS", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, -14, 0, 0, 0, -11, -6, -31
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\components\EtaDetailsBox.jsx", "JavaScript JSX", 0, 0, 0, -82, 0, 0, 0, -2, -13, -97
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\components\InfoPanel.jsx", "JavaScript JSX", 0, 0, 0, -51, 0, 0, 0, -4, -13, -68
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\components\MapPanel.jsx", "JavaScript JSX", 0, 0, 0, -37, 0, 0, 0, -2, -10, -49
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\components\StopsLayer.jsx", "JavaScript JSX", 0, 0, 0, -49, 0, 0, 0, 0, -9, -58
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\components\TextBox.jsx", "JavaScript JSX", 0, 0, 0, -12, 0, 0, 0, 0, -1, -13
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\index.css", "PostCSS", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\stores\locationStore.js", "JavaScript", -33, 0, 0, 0, 0, 0, 0, -1, -2, -36
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\src\stores\selectedStopsStore.js", "JavaScript", -23, 0, 0, 0, 0, 0, 0, 0, -5, -28
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\tailwind.config.js", "JavaScript", -10, 0, 0, 0, 0, 0, 0, -1, 0, -11
"c:\Users\krish\OneDrive\Desktop\ttcMaps\frontend\vite.config.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, -1, -2, -8
"Total", "-", -8, -2912, -6, -254, -7, -13, -2, -22, -44, -3268
